P,1573776000,22.5,0.1,0.3,0.25489026367187506
C,1573776000,25.0,0.0,0.2,0.2802806347656249
P,1576800000,12.5,0.0,0.0,0.2500075
P,1576800000,15.0,0.0,0.05,0.507817421875
P,1576800000,17.5,0.0,0.1,0.45117736328125
P,1576800000,20.0,0.05,0.15,0.3086006640625
P,1576800000,22.5,0.05,0.5,0.22852333984375
P,1576800000,30.0,6.6,7.3,0.508793974609375
C,1576800000,17.5,4.0,4.6,1.0000000000000003e-05
C,1576800000,20.0,3.1,3.4,0.20508607421874997
C,1576800000,22.5,0.75,1.1,0.14649291015625
C,1576800000,25.0,0.0,0.15,0.16797707031250003
P,1584662400,12.5,0.0,0.05,0.49023947265625006
P,1584662400,15.0,0.0,0.1,0.41211525390625
P,1584662400,17.5,0.0,0.15,0.317389638671875
P,1584662400,20.0,0.2,0.3,0.2461012890625
P,1584662400,22.5,0.6,1.0,0.2348709326171875
P,1584662400,25.0,2.3,2.65,0.274421318359375
C,1584662400,17.5,5.4,6.2,0.39111937011718745
C,1584662400,20.0,2.75,3.4,0.13086806640624998
C,1584662400,22.5,1.05,1.3,0.13233289550781252
C,1584662400,25.0,0.15,0.5,0.180672255859375
