"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","60.5","$5.68B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","4.7","$383.8M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.66","$28.02M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.2","$17.64M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.16","$67.22M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","14.22","$917.87M","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.84","$47.99M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.36","$158.89M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","46.82","$1.2B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","8.27","$929.49M","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","17.47","$1.11B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","9.77","$1.41B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","73.1","$4.85B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"JFK","8i Enterprises Acquisition Corp","9.999","$74.27M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.4","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.55","$52.75M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.472","$2.71M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","23.42","$2.33B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"JFU","9F Inc.","10.81","$2.1B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","48.9","$2.55B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","3.26","$160.77M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","0.37","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.593","$4.77M","2014","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","192.76","$8.75B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","0.5866","$98.81M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","5.39","$364.16M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","64.58","$2.65B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.75","$137.87M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","32.76","$2.9B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","40.74","$5.89B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","9.95","$380.06M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.09","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.74","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","2.11","$179.72M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","21.39","$1.17B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","43.1","$2.28B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ARAY","Accuray Incorporated","2.97","$261.43M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.5","$198.59M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","3.62","$36.54M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","2.24","$18.14M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","3.74","$522.45M","2006","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","31.86","$3.72B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","1.42","$58.74M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","14.39","$261.85M","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","36.03","$254.73M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","3.49","$167.9M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ACTT","Act II Global Acquisition Corp.","9.875","$370.31M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.35","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.949","$20.64M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acttw",
"ATVI","Activision Blizzard, Inc","54.76","$42B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"ADMS","Adamas Pharmaceuticals, Inc.","7.33","$203.56M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.74","$45.46M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","1.77","$186.08M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","40.2","$5.61B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADUS","Addus HomeCare Corporation","81.39","$1.07B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.05","$21.24M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","9.13","$274.55M","2015","Technology","Semiconductors","https://old.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","1.53","$15.67M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.2","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ADMA","ADMA Biologics Inc","5.32","$315.57M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","277.91","$134.91B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","11.47","$548.37M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","1.18","$94.57M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","14.08","$261.58M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","56.34","$2.16B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","30.05","$33.09B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","0.2935","$7.25M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"ADVM","Adverum Biotechnologies, Inc.","6.44","$415.12M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","21.9875","$2.2M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","25.43","$24.79M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"BKCH","AdvisorShares Sabretooth ETF","26.16","$1.31M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bkch",
"ACT","AdvisorShares Vice ETF","23.5141","$12.34M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","20.75","$641.06M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","8.66","$250.15M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","1.43","$32.49M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","1.19","$24.48M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
